ticker,symbol,company_name,sector
7203.T,7203,トヨタ自動車,輸送用機器
7267.T,7267,本田技研工業,輸送用機器
8058.T,8058,三菱商事,卸売業
8001.T,8001,伊藤忠商事,卸売業
8031.T,8031,三井物産,卸売業
8306.T,8306,三菱UFJフィナンシャル・グループ,銀行業
8316.T,8316,三井住友フィナンシャルグループ,銀行業
8411.T,8411,みずほフィナンシャルグループ,銀行業
9432.T,9432,日本電信電話,情報・通信業
9433.T,9433,KDDI,情報・通信業
9434.T,9434,ソフトバンク,情報・通信業
4502.T,4502,武田薬品工業,医薬品
4519.T,4519,中外製薬,医薬品
6758.T,6758,ソニーグループ,電気機器
6501.T,6501,日立製作所,電気機器
6702.T,6702,富士通,電気機器
7751.T,7751,キヤノン,電気機器
9984.T,9984,ソフトバンクグループ,情報・通信業
1605.T,1605,INPEX,鉱業
9101.T,9101,日本郵船,海運業
2914.T,2914,日本たばこ産業,食料品
8591.T,8591,オリックス,その他金融業
8766.T,8766,東京海上ホールディングス,保険業
5020.T,5020,ENEOSホールディングス,石油・石炭製品
5401.T,5401,日本製鉄,鉄鋼
