rank,code,company_name,market,sector,last_price,overall_score,value_score,quality_score,growth_stability_score,technical_score,liquidity_score,value_trap_risk,data_completeness,confidence,earnings_yield,book_to_market,fcf_yield,roe,operating_margin,positive_reasons,negative_reasons,latest_price_date,latest_disclosure_date,eligible,disclaimer
1,80350,東京エレクトロン,プライム,3650,52080.0,78.89501361530132,92.89617486338797,76.47058823529412,91.66666666666667,81.39955500254094,53.333333333333336,17.2,42.666666666666664,37.77422222222222,0.024089285714285712,0.08738373944834138,0.018711132134111772,,0.2557509966102361,利益利回りが相対的に良好 / FCF利回りが相対的に良好 / dividend_yieldが相対的に良好 / データ不足のため信頼度が低い,,2026-05-11,2026-04-30,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
2,68570,アドバンテスト,プライム,3650,28780.0,65.9963792036391,61.74863387978143,68.62745098039215,82.14285714285715,78.86099420184746,86.66666666666667,15.2,49.333333333333336,44.33422222222223,0.017899583043780403,0.0381088548508462,0.01439775127846758,,0.44224311321005483,fcf_growthが相対的に良好 / 利益利回りが相対的に良好 / FCF利回りが相対的に良好 / データ不足のため信頼度が低い,,2026-05-11,2026-04-27,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
3,58030,フジクラ,プライム,3500,6832.0,65.88026122953507,75.0,67.64705882352942,75.0,79.38248648606806,80.0,32.27391304347826,33.0,25.899739130434785,0.059377927400468385,0.28562425021334775,,,0.1663245337927856,利益利回りが相対的に良好 / 純資産価値が相対的に良好 / operating_marginが相対的に良好 / データ不足のため信頼度が低い,,2026-05-11,2026-02-09,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
4,50160,ＪＸ金属,プライム,3500,5720.0,58.24065309684137,39.34426229508197,85.29411764705883,100.0,75.85,60.0,17.2,42.666666666666664,37.77422222222222,0.019744755244755243,0.15823831087716786,0.005718044653054658,,0.19778372622473825,operating_marginが相対的に良好 / revenue_growthが相対的に良好 / eps_growthが相対的に良好 / データ不足のため信頼度が低い,,2026-05-11,2026-05-11,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
5,69200,レーザーテック,プライム,3650,44110.0,54.604479780345926,50.0,90.19607843137256,29.523809523809522,72.36184312278783,66.66666666666666,26.1,46.333333333333336,38.27133333333333,0.014338925413738381,0.057033716761395604,0.009007719911053673,,0.46119771851904284,operating_marginが相対的に良好 / データ不足のため信頼度が低い,,2026-05-11,2026-04-30,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
6,99830,ファーストリテイリング,プライム,6100,75050.0,49.93633601731717,41.28205128205128,55.18207282913166,39.682539682539684,87.36808969831405,46.666666666666664,26.1,46.333333333333336,38.27133333333333,0.012128580946035975,0.11761529710650746,0.013889244391907939,,0.19494975494191152,データ不足のため信頼度が低い,,2026-05-11,2026-04-09,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
7,79740,任天堂,プライム,3800,7020.0,45.45409456247842,65.08196721311475,59.803921568627466,66.66666666666667,17.77713651157147,40.0,17.2,42.666666666666664,37.77422222222222,0.051924501424501425,0.36515903025316493,0.009852514999843024,,0.15568917416866296,dividend_yieldが相対的に良好 / fcf_stabilityが相対的に良好 / eps_growthが相対的に良好 / データ不足のため信頼度が低い,,2026-05-11,2026-05-08,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
8,285A0,キオクシアホールディングス,プライム,3650,45940.0,43.90360154061624,33.33333333333332,59.803921568627466,35.238095238095234,75.85,100.0,36.1,46.333333333333336,35.18244444444444,0.0059135829342620815,0.039125745932772786,0.0061558322152918165,,0.20495873464910966,fcf_stabilityが相対的に良好 / データ不足のため信頼度が低い,,2026-05-11,2026-02-12,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
9,99840,ソフトバンクグループ,プライム,5250,5743.0,39.57488261499515,56.53846153846154,46.666666666666664,24.603174603174605,63.430039786820444,93.33333333333333,65.425,42.333333333333336,23.86894444444445,0.09637297579662198,0.559495058706847,-0.1416157363145304,,,利益利回りが相対的に良好 / 純資産価値が相対的に良好 / バリュートラップ要因が強い / データ不足のため信頼度が低い,,2026-05-11,2026-02-12,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
10,57060,三井金属,プライム,3500,51250.0,34.09879194998252,25.0,50.00000000000001,25.0,76.48540161868394,26.666666666666668,32.27391304347826,33.0,25.899739130434785,0.016733463414634147,0.1266375875821099,,,0.13227973818117436,データ不足のため信頼度が低い,,2026-05-11,2026-02-13,True,調査・分析用の機械的スクリーニング結果であり、特定銘柄の売買を推奨するものではありません。将来の利益を保証せず、最終判断は一次情報、価格、流動性、リスク許容度を確認して行ってください。
