symbol,ticker,company_name,sector,market_cap,enterprise_value,net_income,book_value,free_cash_flow,ebitda,revenue,gross_profit,operating_income,operating_cash_flow,total_assets,total_debt,net_cash,earnings_yield,book_to_market,fcf_yield,ev_ebitda,dividend_yield,net_cash_to_market_cap,roe,gross_profitability,operating_margin,fcf_conversion,debt_to_ebitda,accrual_quality,revenue_growth,eps_growth,negative_earnings_years,negative_fcf_years,last_price,change_20d,average_daily_value,technical_score,risk_score,position_52w,market_date,undervaluation_score,value_score,quality_score,growth_stability_score,value_trap_risk,data_completeness,confidence,piotroski_f_score,piotroski_completeness,value_data_completeness,quality_data_completeness,growth_data_completeness,earnings_yield_score,earnings_yield_contribution,book_to_market_score,book_to_market_contribution,fcf_yield_score,fcf_yield_contribution,ev_ebitda_score,ev_ebitda_contribution,dividend_yield_score,dividend_yield_contribution,shareholder_yield_score,shareholder_yield_contribution,net_cash_to_market_cap_score,net_cash_to_market_cap_contribution,roe_score,roe_contribution,roic_score,roic_contribution,gross_profitability_score,gross_profitability_contribution,operating_margin_score,operating_margin_contribution,fcf_conversion_score,fcf_conversion_contribution,debt_to_ebitda_score,debt_to_ebitda_contribution,accrual_quality_score,accrual_quality_contribution,earnings_stability_score,earnings_stability_contribution,fcf_stability_score,fcf_stability_contribution,revenue_growth_score,revenue_growth_contribution,eps_growth_score,eps_growth_contribution,fcf_growth_score,fcf_growth_contribution,margin_stability_score,margin_stability_contribution,earnings_volatility_score,earnings_volatility_contribution,reasons,technical_score_score_output,technical_risk_score,liquidity_score,liquidity_risk_score,overall_score,eligible,filter_reasons,rank
6758,6758.T,ソニーグループ,電気機器,21659081768960.0,22198460874752.0,1114027065344.0,8342668518873.75,3351335403520.0,2079234064384.0,12695775477760.0,4094076125184.0,2122860744594.0044,2065723031552.0,,1870597980160.0,299421007872.0,0.050432432895865596,0.3851810971298077,0.15473118571087607,10.676,0.93,0.013824270625410601,0.13159999,,0.16721001,3.0083069862267147,0.8996572402319644,,0.082,0.476,0,0,3700.0,0.0937038131835648,69494826875.0,79.08600620751619,58.28623079433641,0.369880277252678,2026-08-13,66.775,67.5,75.5,75.0,10.999999999999998,63.333333333333336,58.68888888888889,2.0,22.22222222222222,90.0,50.0,50.0,75.0,2.8499999999999996,75.0,1.95,100.0,6.0,50.0,0.0,25.0,-1.35,,,50.0,0.0,75.0,0.8125,,,,,100.0,1.5,100.0,1.625,25.0,-0.75,,,,,,,75.0,0.9375,75.0,0.9375,,,,,,,FCF利回りが相対的に良好 / operating_marginが相対的に良好 / fcf_conversionが相対的に良好,79.08600620751619,58.28623079433641,80.0,73.48586923830092,70.52383847570914,True,,1
9432,9432.T,日本電信電話,情報・通信業,13033083502592.0,28425844686848.0,1052147974144.0,9831248167663.7,11260864233472.0,3735236902912.0,14764788940800.0,4028308914176.0,1838659166797.824,1533429022720.0,,17425652252672.0,-15038263328768.0,0.07856697606865622,0.7543301947665476,0.8640214904809331,7.61,3.41,-1.153853063688053,0.107130006,,0.12453,10.702738122585412,4.6652067072605,,0.109,0.075,0,0,160.5,0.06857525473390735,40784485046.17844,82.65,80.0,0.7797356532073374,2026-08-13,62.2625,75.83333333333333,50.5,81.25,22.999999999999996,63.333333333333336,53.62222222222223,2.0,22.22222222222222,90.0,50.0,50.0,75.0,2.8499999999999996,100.0,3.9,100.0,6.0,75.0,2.1,75.0,1.35,,,25.0,-2.25,25.0,-0.8125,,,,,50.0,0.0,100.0,1.625,25.0,-0.75,,,,,,,87.5,1.40625,75.0,0.9375,,,,,,,純資産価値が相対的に良好 / FCF利回りが相対的に良好 / fcf_conversionが相対的に良好,82.65,80.0,72.0,74.4,68.573125,True,,2
8411,8411.T,みずほフィナンシャルグループ,銀行業,21379747414016.0,-23387822882816.0,1381019942912.0,11525967382086.65,,,4739890151424.0,4739890151424.0,2212865116093.8086,,,75297177206784.0,44152641290240.0,0.05735840346784319,0.5391068078407695,,,1.76,2.065161970121999,0.124919996,,0.46686,,,,0.35,0.497,0,0,8775.0,0.0347877358490567,87269816170.0,78.50791258830101,49.396385184397566,1.0,2026-08-13,63.727857142857125,53.571428571428555,100.0,83.33333333333333,16.9,43.666666666666664,38.74688888888888,,0.0,56.00000000000001,25.0,50.0,66.66666666666666,1.8999999999999988,33.33333333333333,-1.3000000000000003,,,,,33.33333333333333,-0.9000000000000002,,,66.66666666666666,1.4999999999999991,100.0,1.625,,,,,100.0,1.5,,,,,,,,,,,100.0,1.875,66.66666666666666,0.6249999999999997,,,,,,,roeが相対的に良好 / operating_marginが相対的に良好 / revenue_growthが相対的に良好 / データ不足のため信頼度が低い,78.50791258830101,49.396385184397566,84.0,73.61891555531926,68.41197684546431,True,,3
8001,8001.T,伊藤忠商事,卸売業,14525038329856.0,19462845628416.0,910107017216.0,6767780250751.606,339395641344.0,929405009920.0,15140014522368.0,2541156040704.0,802572169830.7277,992897007616.0,,5244012986368.0,-4385004978176.0,0.061631382700070875,0.46593888875997913,0.023366247553810397,20.941,2.1,-0.3018928335054846,0.14093,,0.05301,0.3729183875344735,5.64233346108107,,0.089,0.048,0,0,2078.0,0.09138655462184864,28017968772.5,80.13527066180175,79.62689323272197,0.7375615002635457,2026-08-13,63.727777777777774,72.96296296296295,92.0,33.33333333333333,22.999999999999996,63.333333333333336,53.62222222222223,2.0,22.22222222222222,90.0,50.0,50.0,100.0,5.699999999999999,33.33333333333333,-1.3000000000000003,100.0,6.0,66.66666666666667,1.4000000000000006,33.33333333333333,-0.9000000000000002,,,66.66666666666666,1.4999999999999991,100.0,1.625,,,,,100.0,1.5,100.0,1.625,66.66666666666667,0.5000000000000001,,,,,,,33.33333333333333,-0.6250000000000001,33.33333333333333,-0.6250000000000001,,,,,,,利益利回りが相対的に良好 / FCF利回りが相対的に良好 / roeが相対的に良好,80.13527066180175,79.62689323272197,40.0,51.88806796981659,66.64568001798764,True,,4
8306,8306.T,三菱UFJフィナンシャル・グループ,銀行業,41825922449408.0,7347514638336.0,1992718024704.0,22742384507046.176,,,7260459237376.0,7260459237376.0,3310769194429.6787,,,108380647587840.0,34723032203264.0,0.0572634113486232,0.5437390191905075,,,2.66,0.8301797108064849,0.09458999,,0.45599997,,,,0.288,0.509,0,0,3709.0,0.030277777777777848,165668625410.0,81.66687524595771,70.65438470037623,0.9486301369863014,2026-08-13,54.32309523809523,51.78571428571428,66.66666666666666,83.33333333333333,16.9,43.666666666666664,38.74688888888888,,0.0,56.00000000000001,25.0,50.0,33.33333333333333,-1.9000000000000004,66.66666666666666,1.2999999999999992,,,,,100.0,2.7,,,33.33333333333333,-1.5000000000000004,66.66666666666666,0.5416666666666664,,,,,66.66666666666666,0.4999999999999997,,,,,,,,,,,66.66666666666666,0.6249999999999997,100.0,1.875,,,,,,,dividend_yieldが相対的に良好 / eps_growthが相対的に良好 / データ不足のため信頼度が低い,81.66687524595771,70.65438470037623,96.0,88.39631541011286,64.56636225726261,True,,5
9433,9433.T,KDDI,情報・通信業,10462649384960.0,15771118862336.0,742508003328.0,4930015425573.0,1533192962048.0,1802664935424.0,6143497207808.0,2627239936000.0,1251061771398.021,1344218988544.0,,5296146087936.0,-4465748082688.0,0.06486925633819665,0.4712013958116227,0.14653964838504063,8.749,2.97,-0.4268276531475372,0.14586,,0.20364,2.0648840890280855,2.937953683938667,,0.036,0.194,0,0,2830.0,-0.0017636684303351524,27708027165.0,80.24204197604449,72.41737334954537,0.6494325346784363,2026-08-13,60.85833333333333,63.888888888888886,68.0,62.5,10.999999999999998,63.333333333333336,58.68888888888889,2.0,22.22222222222222,90.0,50.0,50.0,50.0,0.0,50.0,0.0,75.0,3.0,50.0,0.0,50.0,0.0,,,100.0,4.5,50.0,0.0,,,,,100.0,1.5,50.0,0.0,75.0,0.75,,,,,,,25.0,-0.9375,100.0,1.875,,,,,,,ネットキャッシュが相対的に良好 / operating_marginが相対的に良好 / eps_growthが相対的に良好,80.24204197604449,72.41737334954537,36.0,46.92521200486361,64.31094836116415,True,,6
2914,2914.T,日本たばこ産業,食料品,12548227203072.0,13356865945600.0,595949977600.0,4393754388706.7524,269439877120.0,1161595977728.0,3766956064768.0,2147222945792.0,1195518846275.4202,677934006272.0,,1886878040064.0,-853534048256.0,0.04751556324758611,0.35014937372283017,0.021472346074036416,11.499,3.87,-0.0680202895949351,0.13971,,0.31737,0.45211827711628394,1.624384102770914,,0.17,0.446,0,0,7068.0,0.1556572923479398,34043352305.0,87.93782376243655,74.6513697609678,0.9762158324458644,2026-08-13,48.68164983164983,46.73490460157127,64.79919191919191,55.27272727272727,10.999999999999998,63.333333333333336,58.68888888888889,2.0,22.22222222222222,90.0,50.0,50.0,36.0,-1.5959999999999999,20.0,-2.34,38.88888888888889,-1.3333333333333328,45.45454545454546,-0.38181818181818133,92.0,2.268,,,68.0,1.6199999999999999,68.0,0.585,,,,,80.0,0.8999999999999999,44.44444444444444,-0.1805555555555556,68.18181818181819,0.5454545454545456,,,,,,,56.00000000000001,0.22500000000000026,54.54545454545454,0.17045454545454522,,,,,,,dividend_yieldが相対的に良好 / operating_marginが相対的に良好,87.93782376243655,74.6513697609678,60.0,64.39541092829035,60.067069424010555,True,,7
8591,8591.T,オリックス,その他金融業,6921240707072.0,12428072976384.0,623129985024.0,4431942368061.836,,1152645988352.0,3460485873664.0,1509147017216.0,744627350295.0195,,,6308802068480.0,-5339879047168.0,0.08830822112449216,0.6403392876135777,,10.782,2.67,-0.7715204936756219,0.14035,,0.21518,,5.473321498737035,,0.174,1.706,0,0,6372.0,-0.009020217729393432,22431831345.0,81.53340963791283,70.97269346105088,0.9080354414909869,2026-08-13,50.45921726921726,56.39480519480519,58.79115479115479,78.86363636363637,28.299999999999997,52.333333333333336,42.45977777777778,,0.0,70.0,37.0,50.0,88.0,4.332,60.0,0.78,,,54.54545454545455,0.38181818181818195,48.0,-0.108,,,20.0,-2.6999999999999997,72.0,0.7150000000000001,,,,,76.0,0.78,,,27.272727272727266,-0.681818181818182,,,,,,,60.0,0.375,97.72727272727273,1.7897727272727275,,,,,,,eps_growthが相対的に良好 / 利益利回りが相対的に良好 / operating_marginが相対的に良好,81.53340963791283,70.97269346105088,28.000000000000004,40.89180803831526,57.271024438300955,True,,8
6702,6702.T,富士通,電気機器,6491350761472.0,5975433543680.0,317783015424.0,2030927163768.75,285670866944.0,511930007552.0,3532488966144.0,1259564040192.0,238125081207.76703,337962991616.0,,133699002368.0,464235012096.0,0.04658399777253956,0.3128666699601098,0.0440079233800671,11.672,1.49,0.07151593391800146,0.16202,,0.06741,0.8989494500291195,0.26116656651430875,,0.039,-0.761,0,0,3750.0,0.11012433392539966,33760215035.0,50.31236178302683,47.335247455017715,0.43241511851377323,2026-08-13,54.99722222222223,60.64814814814815,67.33333333333333,37.5,10.999999999999998,63.333333333333336,58.68888888888889,2.0,22.22222222222222,90.0,50.0,50.0,50.0,0.0,50.0,0.0,66.66666666666666,1.999999999999999,25.0,-2.1,75.0,1.35,,,100.0,4.5,100.0,1.625,,,,,25.0,-0.75,66.66666666666666,0.5416666666666664,75.0,0.75,,,,,,,50.0,0.0,25.0,-0.9375,,,,,,,ネットキャッシュが相対的に良好 / roeが相対的に良好 / dividend_yieldが相対的に良好,50.31236178302683,47.335247455017715,56.00000000000001,53.40057423650532,53.66634231385169,True,,9
9434,9434.T,ソフトバンク,情報・通信業,11164389998592.0,18473117810688.0,546118991872.0,2911447188312.078,1263166816256.0,1813463040000.0,7194786922496.0,3452022030336.0,1188938538942.464,1297062035456.0,,7421353787392.0,-5775568797696.0,0.048243360350740803,0.26077978894048565,0.11314248395257642,10.187,3.84,-0.5173205879071214,0.16712,,0.16525,2.312988259071683,4.092365614130189,,0.094,0.034,0,0,233.39999389648438,0.0667275623450192,19351388447.503586,80.89069280553707,78.01861519730178,0.6919538125224497,2026-08-13,44.53333333333333,46.388888888888886,69.0,50.0,22.999999999999996,63.333333333333336,53.62222222222223,2.0,22.22222222222222,90.0,50.0,50.0,25.0,-2.8499999999999996,25.0,-1.95,50.0,0.0,25.0,-2.1,100.0,2.7,,,75.0,2.25,75.0,0.8125,,,,,75.0,0.75,75.0,0.8125,50.0,0.0,,,,,,,50.0,0.0,50.0,0.0,,,,,,,dividend_yieldが相対的に良好 / ネットキャッシュが相対的に良好 / roeが相対的に良好,80.89069280553707,78.01861519730178,16.0,34.60558455919053,52.62989832396999,True,,10
